Top Ranking															
	Market ALL (SET+mai)														
506	SHREIT	8.7	8.95	8.7	8.75	0.57	"67,200.00"	"590,760.00"	"67,200.00"	"590,760.00"	0.02	"3,087,321,125.00"	-	1.01	N/A
507	MJD	3.44	3.5	3.38	3.46	0.58	"121,000.00"	"414,466.00"	"121,000.00"	"414,466.00"	0.01	"2,977,025,308.94"	5.12	0.71	N/A
508	TKS	8.7	8.8	8.65	8.75	0.57	"188,500.00"	"1,645,960.00"	"188,510.00"	"1,646,047.55"	0.04	"3,676,809,211.25"	6.8	1.4	6.56
509	MALEE	8.6	8.7	8.55	8.65	0.58	"265,000.00"	"2,289,060.00"	"265,000.00"	"2,289,060.00"	0.09	"2,422,000,000.00"	N/A	1.84	6.45
510	ROH	43	43.25	43.25	43.25	0.58	200	"8,650.00"	200	"8,650.00"	N/A	"4,054,687,500.00"	28.98	4.58	2.72
511	MCOT	8.95	9	8.95	9	0.56	"9,700.00"	"86,980.00"	"9,700.00"	"86,980.00"	N/A	"6,183,892,890.00"	N/A	1.7	N/A
512	ADVANC	177.5	179	177	178.5	0.56	"4,436,900.00"	"790,927,450.00"	"4,437,585.00"	"791,049,450.00"	0.15	"530,697,516,405.00"	17.38	10.47	3.97
513	D	9.1	9.2	9.1	9.15	0.55	"38,200.00"	"347,910.00"	"38,200.00"	"347,910.00"	0.02	"1,830,000,000.00"	43.02	4.54	2.4
514	SR	1.86	2	1.85	1.87	0.54	"32,000.00"	"59,928.00"	"32,000.00"	"59,928.00"	N/A	"1,265,429,000.00"	21.21	1.12	2.41
515	SVI-W3	1.83	2	1.81	1.84	0.55	"248,700.00"	"459,016.00"	"248,700.00"	"459,016.00"	0.8	"57,040,000.00"	-	-	-
516	SGP	9.35	9.45	9.1	9.4	0.53	"11,008,300.00"	"102,104,790.00"	"11,008,444.00"	"102,106,129.35"	0.6	"17,275,912,200.00"	6.93	1.59	7.98
517	SPCG	18.5	18.7	18.4	18.6	0.54	"453,200.00"	"8,424,950.00"	"453,262.00"	"8,426,109.40"	0.05	"18,116,214,000.00"	6.93	1.57	6.04
518	UOBKH	3.7	3.76	3.72	3.72	0.54	"5,300.00"	"19,916.00"	"5,300.00"	"19,916.00"	N/A	"1,869,108,680.40"	8.58	0.54	2.42
519	AMC	1.82	1.83	1.81	1.83	0.55	"41,100.00"	"74,883.00"	"41,100.00"	"74,883.00"	0.01	"878,576,186.91"	10.69	0.46	6.56
520	DTAC	46	46.5	46	46.25	0.54	"2,685,600.00"	"124,198,525.00"	"2,685,733.00"	"124,204,657.25"	0.11	"109,511,258,750.00"	98.24	4.08	0.52
521	TOP01P1904A	1.9	1.93	1.82	1.91	0.53	"3,948,700.00"	"7,482,117.00"	"3,948,700.00"	"7,482,117.00"	9.77	"77,164,000.00"	-	-	-
522	BMSCG	7.66	7.73	7.67	7.7	0.52	"27,100.00"	"209,147.00"	"27,100.00"	"209,147.00"	0.01	"1,540,000,000.00"	-	-	N/A
523	PREB	9.45	9.5	9.4	9.5	0.53	"52,900.00"	"500,020.00"	"52,967.00"	"500,564.20"	0.02	"2,932,426,389.00"	6.86	1.33	18.95
524	SAWAD	48.75	49.5	48.75	49	0.51	"4,745,400.00"	"232,870,750.00"	"4,745,787.00"	"232,889,628.50"	0.41	"56,240,807,812.00"	21.12	5.1	0.01
525	SMT	1.95	1.97	1.93	1.96	0.51	"249,300.00"	"486,523.00"	"249,300.00"	"486,523.00"	0.03	"1,639,498,773.36"	N/A	1.29	N/A
526	UTP	9.75	10.1	9.8	9.8	0.51	"988,500.00"	"9,846,240.00"	"988,500.00"	"9,846,240.00"	0.15	"6,370,000,000.00"	9.33	2.57	2.55
527	PTT	48	49.25	48	48.25	0.52	"61,760,500.00"	"3,002,963,375.00"	"62,169,208.00"	"3,023,360,334.50"	0.22	"1,378,164,569,062.50"	10.17	1.61	4.15
528	CM	3.96	4	3.9	3.98	0.51	"52,900.00"	"208,774.00"	"52,900.00"	"208,774.00"	0.01	"1,516,959,985.50"	15.96	1.04	8.54
529	APCO	4.08	4.1	4.08	4.1	0.49	"51,500.00"	"210,386.00"	"51,614.00"	"210,852.58"	0.01	"2,460,000,000.00"	24.49	4.17	4.39
530	BBL	207	210	207	208	0.48	"3,202,600.00"	"666,621,000.00"	"3,202,861.00"	"666,675,205.00"	0.24	"397,039,321,952.00"	11.11	0.98	3.13
531	ILINK	4.26	4.3	4.26	4.28	0.47	"103,400.00"	"443,754.00"	"103,402.00"	"443,762.32"	0.02	"2,326,746,351.00"	25.85	0.85	0.87
532	BBL-F	213	217	211	214	0.47	"1,326,000.00"	"283,831,000.00"	"1,378,664.00"	"295,063,886.76"	0.24	"397,039,321,952.00"	11.11	0.98	3.13
533	TQM	22.6	22.7	22.5	22.7	0.44	"125,800.00"	"2,839,430.00"	"125,800.00"	"2,839,430.00"	0.04	"6,810,000,000.00"	20.55	-	N/A
534	ASK	23.8	24	23.8	23.9	0.42	"125,100.00"	"2,992,360.00"	"125,122.00"	"2,992,883.80"	0.04	"8,410,305,796.00"	10.73	1.71	6.19
535	PB	60.5	60.75	60.75	60.75	0.41	"6,100.00"	"370,575.00"	"6,101.00"	"370,639.00"	N/A	"27,337,500,000.00"	19.63	3.89	2.47
536	NYT	4.98	5.05	4.98	5	0.4	"157,700.00"	"788,643.00"	"157,730.00"	"788,799.00"	0.01	"6,200,000,000.00"	14.91	1.68	6
537	EGCO	247	250	247	248	0.4	"661,900.00"	"164,465,800.00"	"662,020.00"	"164,495,599.00"	0.13	"130,563,320,000.00"	5.54	1.29	2.82
538	BDMS-F	24.6	24.7	24.7	24.7	0.41	"3,200.00"	"79,040.00"	"3,200.00"	"79,040.00"	1.67	"355,685,302,289.60"	36.01	5.15	1.57
539	EBANK	5.59	5.6	5.6	5.6	0.18	100	560	100	560	N/A	"3,377,631,230.40"	-	0.94	N/A
540	TOP28C1906A	0.59	0.63	0.59	0.59	-	"18,159,400.00"	"11,010,752.00"	"18,159,400.00"	"11,010,752.00"	39.48	"27,140,000.00"	-	-	-
541	THAI28C1906A	0.29	0.3	0.28	0.29	-	"1,565,800.00"	"465,796.00"	"1,565,800.00"	"465,796.00"	1.57	"29,000,000.00"	-	-	-
542	SGP28C1906A	0.49	0.49	0.44	0.49	-	"3,733,000.00"	"1,730,408.00"	"3,733,000.00"	"1,730,408.00"	6.91	"26,460,000.00"	-	-	-
543	S5028C1903C	0.92	1.02	0.91	0.92	-	"374,100.00"	"375,941.00"	"374,100.00"	"375,941.00"	0.68	"50,600,000.00"	-	-	-
544	GUNK28C1906A	0.3	0.31	0.3	0.3	-	"1,317,600.00"	"399,678.00"	"1,317,600.00"	"399,678.00"	1.83	"21,600,000.00"	-	-	-
545	KKP13C1906A	0.5	0.52	0.5	0.5	-	"30,987,900.00"	"15,828,324.00"	"30,987,900.00"	"15,828,324.00"	25.82	"60,000,000.00"	-	-	-
546	ESSO24C1907A	0.41	0.43	0.41	0.41	-	"490,700.00"	"210,991.00"	"490,700.00"	"210,991.00"	0.98	"20,500,000.00"	-	-	-
547	BJC24C1906A	0.33	0.34	0.33	0.33	-	"319,000.00"	"107,210.00"	"319,000.00"	"107,210.00"	0.64	"16,500,000.00"	-	-	-
548	ADVA24C1906A	0.73	0.75	0.73	0.73	-	"2,200.00"	"1,628.00"	"2,200.00"	"1,628.00"	N/A	"36,500,000.00"	-	-	-
549	TOA01C1907B	0.32	0.33	0.32	0.32	-	"247,000.00"	"80,446.00"	"247,000.00"	"80,446.00"	0.4	"19,923,200.00"	-	-	-
550	THAI13C1906A	0.33	0.33	0.33	0.33	-	"2,326,600.00"	"767,778.00"	"2,326,600.00"	"767,778.00"	1.94	"39,600,000.00"	-	-	-
551	SPAL01C1907A	0.5	0.52	0.5	0.5	-	"4,015,600.00"	"2,037,130.00"	"4,015,600.00"	"2,037,130.00"	7.42	"27,050,000.00"	-	-	-
552	SIRI01P1907A	0.36	0.36	0.36	0.36	-	"2,215,200.00"	"797,472.00"	"2,215,200.00"	"797,472.00"	4.82	"16,556,400.00"	-	-	-
553	SIRI01C1907B	0.29	0.3	0.29	0.29	-	"1,798,800.00"	"538,927.00"	"1,798,800.00"	"538,927.00"	4.21	"12,388,800.00"	-	-	-
554	SIRI01C1907A	0.33	0.34	0.33	0.33	-	"2,124,200.00"	"721,373.00"	"2,124,200.00"	"721,373.00"	3.68	"19,054,200.00"	-	-	-
555	PTTE01P1907B	0.72	0.72	0.66	0.72	-	"15,164,600.00"	"10,421,497.00"	"15,164,600.00"	"10,421,497.00"	25.05	"43,588,800.00"	-	-	-
556	PTTE01C1907A	0.84	0.9	0.84	0.84	-	"15,237,400.00"	"13,396,932.00"	"15,237,400.00"	"13,396,932.00"	15.24	"84,000,000.00"	-	-	-
557	MINT01C1906B	0.3	0.31	0.3	0.3	-	"1,411,400.00"	"430,686.00"	"1,411,400.00"	"430,686.00"	1.41	"30,111,000.00"	-	-	-
558	MINT01C1906A	0.33	0.34	0.33	0.33	-	"2,019,500.00"	"679,926.00"	"2,019,500.00"	"679,926.00"	2	"33,339,900.00"	-	-	-
559	SCC13C1906A	0.3	0.32	0.3	0.3	-	"3,177,900.00"	"986,193.00"	"3,177,900.00"	"986,193.00"	2.65	"36,000,000.00"	-	-	-
560	PTG08C1906A	0.62	0.64	0.6	0.62	-	"894,100.00"	"561,378.00"	"894,100.00"	"561,378.00"	1.12	"49,600,000.00"	-	-	-
561	BJC13C1906A	0.22	0.25	0.21	0.22	-	"10,784,500.00"	"2,545,594.00"	"10,784,500.00"	"2,545,594.00"	8.99	"26,400,000.00"	-	-	-
562	SPAL11C1910A	0.37	0.39	0.37	0.37	-	"3,220,000.00"	"1,216,600.00"	"3,220,000.00"	"1,216,600.00"	7.16	"16,650,000.00"	-	-	-
563	SCB11C1910A	0.44	0.47	0.44	0.44	-	"1,190,000.00"	"547,500.00"	"1,190,000.00"	"547,500.00"	1.32	"39,600,000.00"	-	-	-
564	PTG11C1906A	0.53	0.55	0.52	0.53	-	"222,700.00"	"117,481.00"	"222,700.00"	"117,481.00"	0.78	"15,052,000.00"	-	-	-
565	MINT11C1910A	0.3	0.3	0.3	0.3	-	"315,000.00"	"94,500.00"	"315,000.00"	"94,500.00"	0.35	"27,000,000.00"	-	-	-
566	ITD28C1907A	0.19	0.19	0.19	0.19	-	"204,600.00"	"38,874.00"	"204,600.00"	"38,874.00"	0.17	"22,800,000.00"	-	-	-
567	GGC13C1908A	0.25	0.25	0.25	0.25	-	"437,200.00"	"109,300.00"	"437,200.00"	"109,300.00"	0.22	"50,000,000.00"	-	-	-
568	CBG28C1906A	0.21	0.24	0.21	0.21	-	"2,766,200.00"	"625,106.00"	"2,766,200.00"	"625,106.00"	3.69	"15,750,000.00"	-	-	-
569	BTS11C1910A	0.29	0.29	0.29	0.29	-	"210,000.00"	"60,900.00"	"210,000.00"	"60,900.00"	0.37	"16,588,000.00"	-	-	-
570	BLA28C1906A	0.18	0.19	0.18	0.18	-	"3,762,500.00"	"710,460.00"	"3,762,500.00"	"710,460.00"	4.09	"16,560,000.00"	-	-	-
571	BLA13C1908A	0.24	0.25	0.23	0.24	-	"7,931,800.00"	"1,972,350.00"	"7,931,800.00"	"1,972,350.00"	3.97	"48,000,000.00"	-	-	-
572	ITD19C1906A	0.22	0.22	0.22	0.22	-	"120,000.00"	"26,400.00"	"120,000.00"	"26,400.00"	0.1	"26,400,000.00"	-	-	-
573	BCP19C1906A	0.29	0.3	0.29	0.29	-	"1,436,400.00"	"430,864.00"	"1,436,400.00"	"430,864.00"	1.2	"34,800,000.00"	-	-	-
574	TOP13C1905A	0.6	0.64	0.59	0.6	-	"15,361,400.00"	"9,336,204.00"	"15,361,400.00"	"9,336,204.00"	12.8	"72,000,000.00"	-	-	-
575	EPG13C1905A	0.17	0.18	0.17	0.17	-	"2,432,900.00"	"423,266.00"	"2,432,900.00"	"423,266.00"	2.03	"20,400,000.00"	-	-	-
576	BEM13C1905B	0.16	0.16	0.16	0.16	-	"183,800.00"	"29,408.00"	"183,800.00"	"29,408.00"	0.15	"19,200,000.00"	-	-	-
577	SCC28C1905A	0.2	0.21	0.2	0.2	-	"2,521,000.00"	"509,740.00"	"2,521,000.00"	"509,740.00"	4.85	"10,400,000.00"	-	-	-
578	PTTE28C1905A	0.32	0.38	0.32	0.32	-	"15,644,700.00"	"5,472,006.00"	"15,644,700.00"	"5,472,006.00"	39.11	"12,800,000.00"	-	-	-
579	BTS28C1905A	0.21	0.22	0.21	0.21	-	"1,024,000.00"	"222,212.00"	"1,024,000.00"	"222,212.00"	2.05	"10,500,000.00"	-	-	-
580	CBG13C1905A	0.16	0.18	0.16	0.16	-	"8,554,100.00"	"1,479,251.00"	"8,554,100.00"	"1,479,251.00"	7.13	"19,200,000.00"	-	-	-
581	BBL13C1905A	0.27	0.28	0.27	0.27	-	"2,109,700.00"	"580,883.00"	"2,109,700.00"	"580,883.00"	1.76	"32,400,000.00"	-	-	-
582	ROBI06C1903A	0.26	0.27	0.24	0.26	-	"960,000.00"	"246,800.00"	"960,000.00"	"246,800.00"	3.2	"7,800,000.00"	-	-	-
583	PTT06C1903A	0.11	0.16	0.11	0.11	-	"3,545,300.00"	"471,448.00"	"3,545,300.00"	"471,448.00"	5.91	"6,600,000.00"	-	-	-
584	BJC06C1903A	0.1	0.12	0.1	0.1	-	"1,267,500.00"	"135,250.00"	"1,267,500.00"	"135,250.00"	2.11	"6,000,000.00"	-	-	-
585	BCPG06C1903A	0.13	0.13	0.13	0.13	-	"145,000.00"	"18,850.00"	"145,000.00"	"18,850.00"	0.24	"7,800,000.00"	-	-	-
586	TPIP13C1905A	0.15	0.15	0.15	0.15	-	200	30	200	30	N/A	"18,000,000.00"	-	-	-
587	SCB13P1905A	0.47	0.47	0.44	0.47	-	"5,875,000.00"	"2,716,729.00"	"5,875,000.00"	"2,716,729.00"	4.9	"56,400,000.00"	-	-	-
588	KBAN13P1905A	0.74	0.75	0.73	0.74	-	"14,820,200.00"	"10,897,141.00"	"14,820,200.00"	"10,897,141.00"	12.35	"88,800,000.00"	-	-	-
589	GLOW13C1905A	0.66	0.66	0.63	0.66	-	"903,300.00"	"586,557.00"	"903,300.00"	"586,557.00"	0.75	"79,200,000.00"	-	-	-
590	TOP19C1906A	0.47	0.49	0.46	0.47	-	"8,304,300.00"	"3,946,078.00"	"8,304,300.00"	"3,946,078.00"	6.92	"56,400,000.00"	-	-	-
591	BLAN19C1906A	0.16	0.16	0.16	0.16	-	"14,900.00"	"2,384.00"	"14,900.00"	"2,384.00"	0.01	"19,200,000.00"	-	-	-
592	AP19C1906A	0.23	0.24	0.23	0.23	-	"560,500.00"	"131,032.00"	"560,500.00"	"131,032.00"	0.47	"27,600,000.00"	-	-	-
593	GGC13C1905A	0.19	0.19	0.19	0.19	-	"225,800.00"	"42,902.00"	"225,800.00"	"42,902.00"	0.19	"22,800,000.00"	-	-	-
594	HMPR13C1905A	0.19	0.2	0.19	0.19	-	"1,235,600.00"	"242,792.00"	"1,235,600.00"	"242,792.00"	1.03	"22,800,000.00"	-	-	-
595	CPF13C1905A	0.15	0.17	0.15	0.15	-	"8,509,400.00"	"1,361,504.00"	"8,509,400.00"	"1,361,504.00"	7.09	"18,000,000.00"	-	-	-
596	SCB28C1904A	0.19	0.21	0.19	0.19	-	"6,442,400.00"	"1,290,420.00"	"6,442,400.00"	"1,290,420.00"	13.42	"9,120,000.00"	-	-	-
597	ESSO01C1906A	0.27	0.3	0.27	0.27	-	"7,677,200.00"	"2,218,947.00"	"7,677,200.00"	"2,218,947.00"	11.27	"18,400,500.00"	-	-	-
598	CKP01C1906B	0.19	0.21	0.19	0.19	-	"14,121,700.00"	"2,757,593.00"	"14,121,700.00"	"2,757,593.00"	19.89	"13,490,000.00"	-	-	-
599	BJC01C1906B	0.27	0.31	0.27	0.27	-	"17,460,200.00"	"5,052,172.00"	"17,460,200.00"	"5,052,172.00"	28.5	"16,540,200.00"	-	-	-
600	BJC01C1906A	0.38	0.41	0.38	0.38	-	"10,562,700.00"	"4,159,294.00"	"10,562,700.00"	"4,159,294.00"	12.88	"31,160,000.00"	-	-	-
601	TPIP11C1909A	0.43	0.43	0.42	0.43	-	"682,000.00"	"290,760.00"	"682,000.00"	"290,760.00"	3.23	"9,073,000.00"	-	-	-
602	STA11C1909A	0.23	0.23	0.23	0.23	-	"200,000.00"	"46,000.00"	"200,000.00"	"46,000.00"	0.81	"5,681,000.00"	-	-	-
603	SPRC11C1909A	0.08	0.08	0.08	0.08	-	"140,000.00"	"11,200.00"	"140,000.00"	"11,200.00"	0.22	"5,208,000.00"	-	-	-
604	MTC24C1912A	0.72	0.73	0.72	0.72	-	"108,000.00"	"78,780.00"	"108,000.00"	"78,780.00"	0.22	"36,000,000.00"	-	-	-
605	KTB11C1909A	0.24	0.25	0.24	0.24	-	"350,000.00"	"84,700.00"	"350,000.00"	"84,700.00"	0.39	"21,600,000.00"	-	-	-
606	KBAN19P1904A	0.64	0.65	0.62	0.64	-	"5,616,200.00"	"3,550,766.00"	"5,616,200.00"	"3,550,766.00"	4.68	"76,800,000.00"	-	-	-
607	CPAL11C1909A	0.48	0.5	0.48	0.48	-	"225,900.00"	"110,645.00"	"225,900.00"	"110,645.00"	0.25	"43,200,000.00"	-	-	-
608	COM711C1909A	0.15	0.17	0.15	0.15	-	"2,079,300.00"	"330,049.00"	"2,079,300.00"	"330,049.00"	6.84	"4,560,000.00"	-	-	-
609	BGRI11C1909A	0.32	0.33	0.31	0.32	-	"2,440,200.00"	"785,564.00"	"2,440,200.00"	"785,564.00"	2.82	"27,712,000.00"	-	-	-
610	BCP11C1909A	0.18	0.18	0.18	0.18	-	"150,000.00"	"27,000.00"	"150,000.00"	"27,000.00"	0.22	"12,312,000.00"	-	-	-
611	AP13C1904A	0.08	0.09	0.08	0.08	-	"231,400.00"	"20,816.00"	"231,400.00"	"20,816.00"	0.19	"9,600,000.00"	-	-	-
612	PTT07C1906A	0.31	0.31	0.31	0.31	-	"10,000.00"	"3,100.00"	"10,000.00"	"3,100.00"	0.02	"15,500,000.00"	-	-	-
613	PTG28C1904A	0.38	0.41	0.37	0.38	-	"3,776,600.00"	"1,466,518.00"	"3,776,600.00"	"1,466,518.00"	13.49	"10,640,000.00"	-	-	-
614	CPN28C1904A	0.17	0.18	0.17	0.17	-	"2,013,800.00"	"356,461.00"	"2,013,800.00"	"356,461.00"	5.75	"5,950,000.00"	-	-	-
615	BCP28C1904A	0.14	0.15	0.14	0.14	-	"3,394,500.00"	"507,303.00"	"3,394,500.00"	"507,303.00"	3.3	"14,420,000.00"	-	-	-
616	ADVA28C1904B	0.33	0.35	0.32	0.33	-	"4,913,800.00"	"1,649,818.00"	"4,913,800.00"	"1,649,818.00"	11.43	"14,190,000.00"	-	-	-
617	PTG01C1905A	0.88	0.91	0.87	0.88	-	"988,600.00"	"879,549.00"	"988,600.00"	"879,549.00"	1.65	"52,800,000.00"	-	-	-
618	TOP13C1904A	0.23	0.26	0.23	0.23	-	"7,415,000.00"	"1,777,290.00"	"7,415,000.00"	"1,777,290.00"	6.18	"27,600,000.00"	-	-	-
619	PTTE13C1904A	0.2	0.25	0.2	0.2	-	"12,716,600.00"	"2,890,279.00"	"12,716,600.00"	"2,890,279.00"	10.6	"24,000,000.00"	-	-	-
620	TOP23C1906A	0.28	0.3	0.28	0.28	-	"5,200,100.00"	"1,492,028.00"	"5,200,100.00"	"1,492,028.00"	10.4	"14,000,000.00"	-	-	-
621	BANP23C1906A	0.23	0.24	0.23	0.23	-	"2,810,000.00"	"653,800.00"	"2,810,000.00"	"653,800.00"	5.62	"11,500,000.00"	-	-	-
622	EPG28C1904A	0.09	0.1	0.09	0.09	-	"1,843,200.00"	"172,032.00"	"1,843,200.00"	"172,032.00"	1.79	"9,270,000.00"	-	-	-
623	PTTE06C1903A	0.1	0.13	0.1	0.1	-	"1,395,500.00"	"142,845.00"	"1,395,500.00"	"142,845.00"	2.33	"6,000,000.00"	-	-	-
624	PTT23C1906A	0.24	0.28	0.24	0.24	-	"3,341,100.00"	"902,555.00"	"3,341,100.00"	"902,555.00"	6.68	"12,000,000.00"	-	-	-
625	KTB23C1906A	0.32	0.33	0.32	0.32	-	"1,400,000.00"	"455,000.00"	"1,400,000.00"	"455,000.00"	2.8	"16,000,000.00"	-	-	-
626	CPAL16C1912A	0.97	0.97	0.97	0.97	-	"6,500.00"	"6,305.00"	"6,500.00"	"6,305.00"	0.02	"38,800,000.00"	-	-	-
627	BBL23C1906A	0.25	0.26	0.25	0.25	-	"2,144,000.00"	"538,720.00"	"2,144,000.00"	"538,720.00"	4.29	"12,500,000.00"	-	-	-
628	MTC08C1904A	0.17	0.18	0.17	0.17	-	"671,700.00"	"114,209.00"	"671,700.00"	"114,209.00"	0.84	"13,600,000.00"	-	-	-
629	KKP08C1904A	0.17	0.18	0.17	0.17	-	"645,400.00"	"111,515.00"	"645,400.00"	"111,515.00"	0.81	"13,600,000.00"	-	-	-
630	CPF08C1904A	0.13	0.13	0.13	0.13	-	"3,122,800.00"	"405,964.00"	"3,122,800.00"	"405,964.00"	3.9	"10,400,000.00"	-	-	-
631	BGRI08C1904A	0.17	0.18	0.17	0.17	-	"3,628,400.00"	"629,134.00"	"3,628,400.00"	"629,134.00"	4.54	"13,600,000.00"	-	-	-
632	BANP08C1904A	0.1	0.11	0.1	0.1	-	"1,825,700.00"	"198,956.00"	"1,825,700.00"	"198,956.00"	2.28	"8,000,000.00"	-	-	-
633	TASC27C1905A	0.26	0.28	0.26	0.26	-	"1,530,000.00"	"408,150.00"	"1,530,000.00"	"408,150.00"	3.06	"13,000,000.00"	-	-	-
634	GUNK27C1905A	0.22	0.22	0.22	0.22	-	"600,000.00"	"132,000.00"	"600,000.00"	"132,000.00"	1.2	"11,000,000.00"	-	-	-
635	BJC27C1905A	0.13	0.14	0.13	0.13	-	"1,131,700.00"	"148,321.00"	"1,131,700.00"	"148,321.00"	2.26	"6,500,000.00"	-	-	-
636	MINT28C1904A	0.12	0.12	0.12	0.12	-	"450,000.00"	"54,000.00"	"450,000.00"	"54,000.00"	0.4	"13,440,000.00"	-	-	-
637	LPN01C1905B	0.03	0.03	0.03	0.03	-	"200,000.00"	"6,000.00"	"200,000.00"	"6,000.00"	0.49	"1,218,300.00"	-	-	-
638	CPAL28C1904A	0.42	0.44	0.42	0.42	-	"1,848,200.00"	"808,763.00"	"1,848,200.00"	"808,763.00"	3.42	"22,680,000.00"	-	-	-
639	BJC28C1904A	0.06	0.07	0.06	0.06	-	"1,621,000.00"	"111,470.00"	"1,621,000.00"	"111,470.00"	2.53	"3,840,000.00"	-	-	-
640	ADVA28C1904A	0.13	0.13	0.13	0.13	-	"1,002,000.00"	"130,260.00"	"1,002,000.00"	"130,260.00"	2.78	"4,680,000.00"	-	-	-
641	PTG13C1903A	0.08	0.08	0.08	0.08	-	"2,500.00"	200	"2,500.00"	200	N/A	"9,600,000.00"	-	-	-
642	KBAN24C1908A	0.41	0.41	0.41	0.41	-	"400,000.00"	"164,000.00"	"400,000.00"	"164,000.00"	0.8	"20,500,000.00"	-	-	-
643	CKP24C1906A	0.14	0.15	0.14	0.14	-	"400,000.00"	"58,000.00"	"400,000.00"	"58,000.00"	0.8	"7,000,000.00"	-	-	-
644	BBL24C1907A	0.19	0.19	0.19	0.19	-	100	19	100	19	N/A	"9,500,000.00"	-	-	-
645	TASC13C1904A	0.21	0.22	0.21	0.21	-	"7,423,200.00"	"1,581,557.00"	"7,423,200.00"	"1,581,557.00"	6.19	"25,200,000.00"	-	-	-
646	KBAN13C1904A	0.1	0.1	0.1	0.1	-	"3,913,400.00"	"391,340.00"	"3,913,400.00"	"391,340.00"	3.26	"12,000,000.00"	-	-	-
647	BEAU13C1904A	0.04	0.04	0.03	0.04	-	"404,900.00"	"13,194.00"	"404,900.00"	"13,194.00"	0.34	"4,800,000.00"	-	-	-
648	TPIP13C1904A	0.41	0.44	0.41	0.41	-	"2,951,100.00"	"1,221,928.00"	"2,951,100.00"	"1,221,928.00"	2.46	"49,200,000.00"	-	-	-
649	PTTG13C1904A	0.27	0.3	0.26	0.27	-	"6,273,600.00"	"1,698,798.00"	"6,273,600.00"	"1,698,798.00"	5.23	"32,400,000.00"	-	-	-
650	IVL13P1903A	0.13	0.13	0.11	0.13	-	"1,600,200.00"	"202,268.00"	"1,600,200.00"	"202,268.00"	1.33	"15,600,000.00"	-	-	-
651	UV13C1904A	0.1	0.11	0.1	0.1	-	"3,259,900.00"	"341,323.00"	"3,259,900.00"	"341,323.00"	2.72	"12,000,000.00"	-	-	-
652	TPIP19C1906A	0.51	0.52	0.51	0.51	-	"483,200.00"	"248,908.00"	"483,200.00"	"248,908.00"	0.4	"61,200,000.00"	-	-	-
653	PTG19P1903A	0.23	0.24	0.21	0.23	-	"3,916,000.00"	"896,386.00"	"3,916,000.00"	"896,386.00"	3.26	"27,600,000.00"	-	-	-
654	ORI13C1904A	0.05	0.08	0.05	0.05	-	"3,311,000.00"	"224,676.00"	"3,311,000.00"	"224,676.00"	2.76	"6,000,000.00"	-	-	-
655	MINT13C1904A	0.14	0.15	0.14	0.14	-	"606,000.00"	"85,840.00"	"606,000.00"	"85,840.00"	0.51	"16,800,000.00"	-	-	-
656	KTC19P1903A	0.27	0.27	0.23	0.27	-	"10,562,800.00"	"2,684,204.00"	"10,562,800.00"	"2,684,204.00"	8.8	"32,400,000.00"	-	-	-
657	GUNK19C1906A	0.24	0.26	0.24	0.24	-	"609,400.00"	"152,208.00"	"609,400.00"	"152,208.00"	0.51	"28,800,000.00"	-	-	-
658	GPSC13C1904A	0.37	0.38	0.34	0.37	-	"13,245,700.00"	"4,791,482.00"	"13,245,700.00"	"4,791,482.00"	11.04	"44,400,000.00"	-	-	-
659	BLA19C1906A	0.11	0.12	0.1	0.11	-	"2,790,000.00"	"316,600.00"	"2,790,000.00"	"316,600.00"	2.33	"13,200,000.00"	-	-	-
660	ADVA13C1904A	0.19	0.19	0.19	0.19	-	"4,626,700.00"	"879,073.00"	"4,626,700.00"	"879,073.00"	3.86	"22,800,000.00"	-	-	-
661	PTT13C1903A	0.16	0.18	0.15	0.16	-	"7,055,300.00"	"1,230,077.00"	"7,055,300.00"	"1,230,077.00"	5.88	"19,200,000.00"	-	-	-
662	CPAL13C1903A	0.64	0.67	0.64	0.64	-	"4,369,700.00"	"2,869,481.00"	"4,369,700.00"	"2,869,481.00"	3.64	"76,800,000.00"	-	-	-
663	QH27P1905A	0.5	0.51	0.49	0.5	-	"720,000.00"	"360,450.00"	"720,000.00"	"360,450.00"	1.44	"25,000,000.00"	-	-	-
664	KBAN24P1907A	0.5	0.5	0.5	0.5	-	"12,000.00"	"6,000.00"	"12,000.00"	"6,000.00"	0.02	"25,000,000.00"	-	-	-
665	IRPC24C1904A	0.13	0.13	0.13	0.13	-	"600,000.00"	"78,000.00"	"600,000.00"	"78,000.00"	1.2	"6,500,000.00"	-	-	-
666	INTU24C1909A	0.19	0.19	0.19	0.19	-	"1,000.00"	190	"1,000.00"	190	N/A	"9,500,000.00"	-	-	-
667	HMPR27C1905A	0.25	0.26	0.25	0.25	-	"180,000.00"	"45,900.00"	"180,000.00"	"45,900.00"	0.36	"12,500,000.00"	-	-	-
668	GPSC24C1904B	0.36	0.37	0.33	0.36	-	"140,000.00"	"49,740.00"	"140,000.00"	"49,740.00"	0.28	"18,000,000.00"	-	-	-
669	CENT27C1905A	0.27	0.28	0.27	0.27	-	"1,710,000.00"	"467,550.00"	"1,710,000.00"	"467,550.00"	3.42	"13,500,000.00"	-	-	-
670	BEM27P1905A	0.09	0.09	0.09	0.09	-	"527,500.00"	"47,475.00"	"527,500.00"	"47,475.00"	1.06	"4,500,000.00"	-	-	-
