Top Ranking															
	Market ALL (SET+mai)														
Rank By :	% Change														
Period :	Daily  10/01/2019 To 10/01/2019														
Rank	Symbol	Prior	High	Low	Close	% Change	AOM Volume (Shares)	AOM Value (Baht)	Total Volume (Shares)	Total Value (Baht)	Turnover Ratio (%)	Market Capital (Baht)	P/E* (Times)	P/BV* (Times)	Dividend Yield (%)
47	TU06C1902A	0.11	0.13	0.12	0.13	18.18	"220,000.00"	"28,400.00"	"220,000.00"	"28,400.00"	0.37	"7,800,000.00"	-	-	-
48	AP19C1906A	0.23	0.27	0.24	0.27	17.39	"4,977,000.00"	"1,267,552.00"	"4,977,000.00"	"1,267,552.00"	4.15	"32,400,000.00"	-	-	-
49	CPAL28C1904A	0.42	0.49	0.43	0.49	16.67	"13,042,800.00"	"6,040,040.00"	"13,042,800.00"	"6,040,040.00"	24.15	"26,460,000.00"	-	-	-
50	STA19C1903B	0.06	0.07	0.06	0.07	16.67	"713,000.00"	"43,780.00"	"713,000.00"	"43,780.00"	0.59	"8,400,000.00"	-	-	-
51	CPAL08C1902B	0.24	0.28	0.24	0.28	16.67	"4,934,800.00"	"1,277,618.00"	"4,934,800.00"	"1,277,618.00"	6.17	"22,400,000.00"	-	-	-
52	ROBI19C1901A	0.24	0.31	0.23	0.28	16.67	"1,974,600.00"	"536,362.00"	"1,974,600.00"	"536,362.00"	1.65	"33,600,000.00"	-	-	-
53	MINT19C1901A	0.06	0.08	0.06	0.07	16.67	"627,600.00"	"43,932.00"	"627,600.00"	"43,932.00"	0.52	"8,400,000.00"	-	-	-
54	ADVA13P1904A	0.62	0.74	0.62	0.72	16.13	"23,812,000.00"	"16,597,473.00"	"23,812,000.00"	"16,597,473.00"	19.84	"86,400,000.00"	-	-	-
55	HANA01C1905B	0.13	0.16	0.14	0.15	15.38	"8,062,200.00"	"1,208,216.00"	"8,062,200.00"	"1,208,216.00"	17.39	"6,954,000.00"	-	-	-
56	ADVA01P1902B	0.52	0.62	0.51	0.6	15.38	"15,419,800.00"	"8,950,077.00"	"15,419,800.00"	"8,950,077.00"	15.1	"61,266,000.00"	-	-	-
57	CPAL13C1901A	0.13	0.15	0.12	0.15	15.38	"7,462,300.00"	"997,699.00"	"7,462,300.00"	"997,699.00"	6.22	"18,000,000.00"	-	-	-
58	SCC01P1901A	0.13	0.17	0.12	0.15	15.38	"15,271,100.00"	"2,288,285.00"	"15,271,100.00"	"2,288,285.00"	22.54	"10,161,000.00"	-	-	-
59	TFG-W1	0.39	0.48	0.44	0.45	15.38	"147,400.00"	"66,568.00"	"147,400.00"	"66,568.00"	0.03	"223,509,708.90"	-	-	-
60	MINT01C1901A	0.2	0.24	0.21	0.23	15	"13,338,300.00"	"3,032,336.00"	"13,338,300.00"	"3,032,336.00"	8.13	"37,729,200.00"	-	-	-
61	KBAN01P1904B	0.61	0.73	0.6	0.7	14.75	"28,375,000.00"	"19,659,654.00"	"28,375,000.00"	"19,659,654.00"	51.77	"38,367,000.00"	-	-	-
62	ADVA01P1905B	0.56	0.67	0.55	0.64	14.29	"18,288,400.00"	"11,451,426.00"	"18,288,400.00"	"11,451,426.00"	35.19	"33,260,800.00"	-	-	-
63	KCE28C1905A	0.21	0.24	0.22	0.24	14.29	"6,783,500.00"	"1,607,662.00"	"6,783,500.00"	"1,607,662.00"	5.1	"31,920,000.00"	-	-	-
64	MINT13C1904A	0.14	0.16	0.14	0.16	14.29	"16,429,900.00"	"2,552,658.00"	"16,429,900.00"	"2,552,658.00"	13.69	"19,200,000.00"	-	-	-
65	KTC27P1903A	0.14	0.16	0.14	0.16	14.29	"1,650,100.00"	"252,716.00"	"1,650,100.00"	"252,716.00"	3.3	"8,000,000.00"	-	-	-
66	BTS28C1902A	0.07	0.08	0.07	0.08	14.29	"2,567,200.00"	"197,878.00"	"2,567,200.00"	"197,878.00"	3.09	"6,640,000.00"	-	-	-
67	BANP24P1901A	0.07	0.08	0.08	0.08	14.29	100	8	100	8	N/A	"4,000,000.00"	-	-	-
68	QH11C1910A	0.22	0.26	0.22	0.25	13.64	"2,918,900.00"	"726,103.00"	"2,918,900.00"	"726,103.00"	3.24	"22,500,000.00"	-	-	-
69	TU24C1904A	0.22	0.26	0.25	0.25	13.64	"1,500.00"	380	"1,500.00"	380	N/A	"12,500,000.00"	-	-	-
70	ADVA11P1910A	0.6	0.68	0.6	0.68	13.33	"4,550,000.00"	"3,013,200.00"	"4,550,000.00"	"3,013,200.00"	5.06	"61,200,000.00"	-	-	-
71	CPF13C1905A	0.15	0.17	0.16	0.17	13.33	"11,322,700.00"	"1,813,632.00"	"11,322,700.00"	"1,813,632.00"	9.44	"20,400,000.00"	-	-	-
72	SPRC11C1909A	0.08	0.09	0.09	0.09	12.5	100	9	100	9	N/A	"5,859,000.00"	-	-	-
73	PTT23C1906A	0.24	0.27	0.27	0.27	12.5	100	27	100	27	N/A	"13,500,000.00"	-	-	-
74	AOT19P1903A	0.08	0.09	0.09	0.09	12.5	"50,000.00"	"4,500.00"	"50,000.00"	"4,500.00"	0.04	"10,800,000.00"	-	-	-
75	HMPR01P1902A	0.24	0.29	0.25	0.27	12.5	"7,291,600.00"	"1,983,475.00"	"7,291,600.00"	"1,983,475.00"	7.39	"26,649,000.00"	-	-	-
76	CPAL07C1902A	0.24	0.27	0.25	0.27	12.5	"29,000.00"	"7,550.00"	"29,000.00"	"7,550.00"	0.06	"13,500,000.00"	-	-	-
77	B-W4	0.08	0.1	0.08	0.09	12.5	"363,900.00"	"32,418.00"	"363,922.00"	"32,419.54"	0.38	"8,716,460.49"	-	-	-
78	HANA19C1906A	0.25	0.29	0.26	0.28	12	"548,500.00"	"150,524.00"	"548,500.00"	"150,524.00"	0.46	"33,600,000.00"	-	-	-
79	CGD-W4	0.25	0.28	0.25	0.28	12	"218,500.00"	"56,554.00"	"218,500.00"	"56,554.00"	0.01	"462,802,383.12"	-	-	-
80	TCAP01C1901B	0.17	0.19	0.17	0.19	11.76	"2,624,000.00"	"491,540.00"	"2,624,000.00"	"491,540.00"	2.12	"23,544,800.00"	-	-	-
81	TRUE01P1902A	0.6	0.7	0.59	0.67	11.67	"8,518,100.00"	"5,369,769.00"	"8,518,100.00"	"5,369,769.00"	7.96	"71,669,900.00"	-	-	-
82	GOLDPF	6.45	7.2	7.2	7.2	11.63	100	720	100	720	N/A	"1,483,200,000.00"	-	0.75	2.78
83	ROBI06C1903A	0.26	0.32	0.26	0.29	11.54	"1,120,000.00"	"325,103.00"	"1,120,000.00"	"325,103.00"	3.73	"8,700,000.00"	-	-	-
84	SCC24P1909A	0.44	0.49	0.43	0.49	11.36	"72,200.00"	"34,778.00"	"72,200.00"	"34,778.00"	0.14	"24,500,000.00"	-	-	-
85	CPAL24C1904A	0.62	0.69	0.64	0.69	11.29	"149,100.00"	"98,436.00"	"149,100.00"	"98,436.00"	0.3	"34,500,000.00"	-	-	-
86	ADVA01P1905A	1.07	1.2	1.06	1.19	11.21	"12,834,300.00"	"14,846,436.00"	"12,834,300.00"	"14,846,436.00"	16.87	"90,547,100.00"	-	-	-
87	SPRC19C1905A	0.09	0.1	0.09	0.1	11.11	"1,471,800.00"	"136,556.00"	"1,471,800.00"	"136,556.00"	1.23	"12,000,000.00"	-	-	-
88	HANA01C1905A	0.18	0.2	0.19	0.2	11.11	"3,585,200.00"	"695,638.00"	"3,585,200.00"	"695,638.00"	7.28	"9,844,000.00"	-	-	-
89	CENT01C1903B	0.18	0.21	0.17	0.2	11.11	"6,702,900.00"	"1,287,295.00"	"6,702,900.00"	"1,287,295.00"	14.36	"9,334,000.00"	-	-	-
90	BEAU01P1902A	1.26	1.45	1.31	1.4	11.11	"26,379,300.00"	"37,073,586.00"	"26,379,300.00"	"37,073,586.00"	59.97	"61,586,000.00"	-	-	-
91	CPAL01C1904B	0.46	0.52	0.48	0.51	10.87	"28,755,400.00"	"14,233,288.00"	"28,755,400.00"	"14,233,288.00"	35.59	"41,208,000.00"	-	-	-
92	ADVA01P1902A	0.83	0.93	0.83	0.92	10.84	"12,235,800.00"	"11,079,489.00"	"12,235,800.00"	"11,079,489.00"	17.09	"65,872,000.00"	-	-	-
93	KCE19C1906A	0.37	0.41	0.38	0.41	10.81	"1,902,000.00"	"769,624.00"	"1,902,000.00"	"769,624.00"	1.59	"49,200,000.00"	-	-	-
94	CPAL42C1904A	0.37	0.41	0.37	0.41	10.81	"1,013,700.00"	"402,444.00"	"1,013,700.00"	"402,444.00"	1.69	"24,600,000.00"	-	-	-
95	KCE11C1906A	0.28	0.32	0.29	0.31	10.71	"660,500.00"	"198,758.00"	"660,500.00"	"198,758.00"	0.73	"27,900,000.00"	-	-	-
96	KCE01C1906B	0.28	0.32	0.28	0.31	10.71	"9,097,000.00"	"2,855,756.00"	"9,097,000.00"	"2,855,756.00"	9.1	"31,000,000.00"	-	-	-
97	INTU11P1905A	0.28	0.34	0.28	0.31	10.71	"1,965,000.00"	"612,390.00"	"1,965,000.00"	"612,390.00"	4.78	"12,741,000.00"	-	-	-
98	TFG-W2	0.28	0.31	0.27	0.31	10.71	"46,400.00"	"13,269.00"	"46,480.00"	"13,271.40"	0.01	"158,349,689.81"	-	-	-
99	KBAN01P1907A	0.95	1.11	0.92	1.05	10.53	"14,051,000.00"	"14,735,615.00"	"14,051,000.00"	"14,735,615.00"	17.5	"84,283,500.00"	-	-	-
100	CPAL06C1903A	0.38	0.42	0.01	0.42	10.53	"4,507,600.00"	"1,745,786.00"	"4,507,600.00"	"1,745,786.00"	7.51	"25,200,000.00"	-	-	-
101	KCE24C1906A	0.39	0.43	0.39	0.43	10.26	"40,100.00"	"16,440.00"	"40,100.00"	"16,440.00"	0.08	"21,500,000.00"	-	-	-
102	MINT11C1910A	0.3	0.34	0.31	0.33	10	"2,690,000.00"	"886,350.00"	"2,690,000.00"	"886,350.00"	2.99	"29,700,000.00"	-	-	-
103	PTT01C1901B	0.1	0.11	0.09	0.11	10	"27,793,100.00"	"2,850,386.00"	"27,793,100.00"	"2,850,386.00"	20.17	"15,155,800.00"	-	-	-
104	MILL-W5	0.1	0.11	0.1	0.11	10	"499,900.00"	"52,005.00"	"499,900.00"	"52,005.00"	0.06	"99,554,932.40"	-	-	-
105	PTG13C1904A	0.41	0.5	0.4	0.45	9.76	"35,016,300.00"	"15,938,722.00"	"35,016,300.00"	"15,938,722.00"	29.18	"54,000,000.00"	-	-	-
106	BH01P1905A	0.82	0.94	0.88	0.9	9.76	"50,919,400.00"	"46,464,068.00"	"50,919,400.00"	"46,464,068.00"	61.52	"74,493,000.00"	-	-	-
107	ROBI01C1903B	0.31	0.37	0.29	0.34	9.68	"5,473,600.00"	"1,826,582.00"	"5,473,600.00"	"1,826,582.00"	12.59	"14,783,200.00"	-	-	-
108	TRUE01P1905A	0.64	0.72	0.63	0.7	9.37	"10,756,000.00"	"7,176,657.00"	"10,756,000.00"	"7,176,657.00"	13.42	"56,119,000.00"	-	-	-
109	CPAL13C1903A	0.64	0.7	0.64	0.7	9.37	"42,501,200.00"	"28,746,938.00"	"42,501,200.00"	"28,746,938.00"	35.42	"84,000,000.00"	-	-	-
110	SMART	0.96	1.05	0.98	1.05	9.38	"3,683,900.00"	"3,745,798.00"	"3,683,901.00"	"3,745,799.02"	0.8	"483,000,252.00"	N/A	1.07	N/A
111	MINT01C1906A	0.33	0.37	0.34	0.36	9.09	"11,160,300.00"	"3,996,526.00"	"11,160,300.00"	"3,996,526.00"	11.05	"36,370,800.00"	-	-	-
112	PTT06C1903A	0.11	0.13	0.12	0.12	9.09	"1,270,000.00"	"155,400.00"	"1,270,000.00"	"155,400.00"	2.12	"7,200,000.00"	-	-	-
113	MINT07C1906A	0.22	0.24	0.24	0.24	9.09	"5,000.00"	"1,200.00"	"5,000.00"	"1,200.00"	0.01	"12,000,000.00"	-	-	-
114	EA13C1903A	0.11	0.12	0.11	0.12	9.09	"4,018,000.00"	"451,374.00"	"4,018,000.00"	"451,374.00"	3.35	"14,400,000.00"	-	-	-
115	SCC27P1904A	0.44	0.49	0.44	0.48	9.09	"1,657,000.00"	"773,140.00"	"1,657,000.00"	"773,140.00"	3.31	"24,000,000.00"	-	-	-
116	ROBI08C1903A	0.22	0.26	0.21	0.24	9.09	"1,512,600.00"	"361,901.00"	"1,512,600.00"	"361,901.00"	1.89	"19,200,000.00"	-	-	-
117	SCB42C1903A	0.11	0.12	0.12	0.12	9.09	"204,000.00"	"24,480.00"	"204,000.00"	"24,480.00"	0.34	"7,200,000.00"	-	-	-
118	TU11C1906A	0.11	0.12	0.11	0.12	9.09	"1,772,900.00"	"212,695.00"	"1,772,900.00"	"212,695.00"	3.32	"6,408,000.00"	-	-	-
119	TU01C1901B	0.34	0.38	0.35	0.37	8.82	"5,861,100.00"	"2,198,741.00"	"5,861,100.00"	"2,198,741.00"	3.19	"67,983,800.00"	-	-	-
120	KBAN01P1904A	0.91	1.02	0.89	0.99	8.79	"12,092,600.00"	"11,769,922.00"	"12,092,600.00"	"11,769,922.00"	24.74	"48,381,300.00"	-	-	-
121	INTU01P1903B	0.57	0.68	0.59	0.62	8.77	"7,045,600.00"	"4,464,014.00"	"7,045,600.00"	"4,464,014.00"	11.98	"36,462,200.00"	-	-	-
122	BBL19P1904A	0.23	0.25	0.22	0.25	8.7	"11,613,700.00"	"2,648,620.00"	"11,613,700.00"	"2,648,620.00"	9.68	"30,000,000.00"	-	-	-
123	CRANE-W1	0.92	1	1	1	8.7	700	700	700	700	N/A	"60,633,189.00"	-	-	-
124	KCE01C1906A	0.35	0.4	0.35	0.38	8.57	"7,253,800.00"	"2,784,514.00"	"7,253,800.00"	"2,784,514.00"	7.25	"38,000,000.00"	-	-	-
125	SGP06C1903A	0.24	0.26	0.23	0.26	8.33	"501,000.00"	"121,980.00"	"501,000.00"	"121,980.00"	0.84	"15,600,000.00"	-	-	-
126	HANA13C1905A	0.12	0.13	0.12	0.13	8.33	"8,926,900.00"	"1,157,395.00"	"8,926,900.00"	"1,157,395.00"	7.44	"15,600,000.00"	-	-	-
127	CPAL11C1909A	0.48	0.52	0.49	0.52	8.33	"1,941,200.00"	"972,214.00"	"1,941,200.00"	"972,214.00"	2.16	"46,800,000.00"	-	-	-
128	MINT28C1904A	0.12	0.14	0.12	0.13	8.33	"10,671,900.00"	"1,400,631.00"	"10,671,900.00"	"1,400,631.00"	9.53	"14,560,000.00"	-	-	-
129	PTT01C1904B	0.12	0.13	0.13	0.13	8.33	"12,162,800.00"	"1,581,164.00"	"12,162,800.00"	"1,581,164.00"	13.02	"12,143,300.00"	-	-	-
130	TU01C1901A	0.51	0.55	0.53	0.55	7.84	"5,360,000.00"	"2,916,605.00"	"5,360,000.00"	"2,916,605.00"	3.47	"84,881,500.00"	-	-	-
131	CPAL01C1904A	0.77	0.83	0.78	0.83	7.79	"14,430,700.00"	"11,589,678.00"	"14,430,700.00"	"11,589,678.00"	14.35	"83,473,100.00"	-	-	-
132	TU19C1906A	0.39	0.42	0.4	0.42	7.69	"4,489,500.00"	"1,854,208.00"	"4,489,500.00"	"1,854,208.00"	3.74	"50,400,000.00"	-	-	-
133	THAI19C1905A	0.26	0.28	0.27	0.28	7.69	"429,900.00"	"118,368.00"	"429,900.00"	"118,368.00"	0.36	"33,600,000.00"	-	-	-
134	IVL13P1903A	0.13	0.14	0.12	0.14	7.69	"2,175,400.00"	"297,294.00"	"2,175,400.00"	"297,294.00"	1.81	"16,800,000.00"	-	-	-
135	IVL13P1902A	0.13	0.15	0.11	0.14	7.69	"3,760,900.00"	"508,987.00"	"3,760,900.00"	"508,987.00"	3.13	"16,800,000.00"	-	-	-
136	AOT01C1902B	0.13	0.14	0.13	0.14	7.69	"18,267,700.00"	"2,374,802.00"	"18,267,700.00"	"2,374,802.00"	20.62	"12,401,200.00"	-	-	-
137	CI-W1	0.13	0.14	0.12	0.14	7.69	"6,800.00"	883	"6,813.00"	884.3	0.01	"13,839,741.86"	-	-	-
138	FN	1.45	1.7	1.44	1.56	7.59	"8,723,700.00"	"13,984,478.00"	"8,723,700.00"	"13,984,478.00"	0.87	"1,560,000,000.00"	33.27	1.06	2.31
139	CPAL23C1906A	0.54	0.58	0.57	0.58	7.41	"70,000.00"	"40,100.00"	"70,000.00"	"40,100.00"	0.14	"29,000,000.00"	-	-	-
140	BBL08P1904A	0.27	0.29	0.26	0.29	7.41	"3,173,500.00"	"870,985.00"	"3,173,500.00"	"870,985.00"	3.97	"23,200,000.00"	-	-	-
141	HMPR27P1905A	0.27	0.31	0.28	0.29	7.41	"1,070,600.00"	"319,030.00"	"1,070,600.00"	"319,030.00"	2.14	"14,500,000.00"	-	-	-
142	KCE08C1905A	0.28	0.31	0.28	0.3	7.14	"3,316,200.00"	"1,013,499.00"	"3,316,200.00"	"1,013,499.00"	4.15	"24,000,000.00"	-	-	-
143	CPF24C1904A	0.42	0.45	0.42	0.45	7.14	"600,000.00"	"261,000.00"	"600,000.00"	"261,000.00"	1.2	"22,500,000.00"	-	-	-
144	GGC28C1905A	0.14	0.15	0.15	0.15	7.14	"607,000.00"	"91,050.00"	"607,000.00"	"91,050.00"	0.28	"33,000,000.00"	-	-	-
145	CPAL27C1903A	0.28	0.3	0.27	0.3	7.14	"720,000.00"	"208,350.00"	"720,000.00"	"208,350.00"	1.44	"15,000,000.00"	-	-	-
146	SIRI01P1901A	1.13	1.26	1.18	1.21	7.08	"271,600.00"	"329,578.00"	"271,600.00"	"329,578.00"	0.46	"71,365,800.00"	-	-	-
147	BBL27P1904A	0.43	0.46	0.42	0.46	6.98	"1,590,400.00"	"681,776.00"	"1,590,400.00"	"681,776.00"	3.18	"23,000,000.00"	-	-	-
148	IRCP	0.58	0.69	0.58	0.62	6.9	"3,999,900.00"	"2,591,043.00"	"3,999,900.00"	"2,591,043.00"	1.57	"157,665,842.52"	N/A	0.47	N/A
149	"TFI <C , NP>"	0.29	0.31	0.28	0.31	6.9	"70,900.00"	"20,555.00"	"70,900.00"	"20,555.00"	N/A	"634,725,000.00"	N/A	1.92	N/A
150	ROBI01C1903A	0.59	0.66	0.57	0.63	6.78	"5,423,300.00"	"3,373,807.00"	"5,423,300.00"	"3,373,807.00"	13.56	"25,200,000.00"	-	-	-
151	MINT01C1906B	0.3	0.34	0.3	0.32	6.67	"17,583,800.00"	"5,732,831.00"	"17,583,800.00"	"5,732,831.00"	17.52	"32,118,400.00"	-	-	-
152	PTG19C1905A	0.75	0.84	0.73	0.8	6.67	"5,432,500.00"	"4,349,345.00"	"5,432,500.00"	"4,349,345.00"	4.53	"96,000,000.00"	-	-	-
153	GLOB01C1903A	0.3	0.32	0.3	0.32	6.67	"2,128,200.00"	"655,973.00"	"2,128,200.00"	"655,973.00"	5.16	"13,206,400.00"	-	-	-
154	CPF01C1902A	0.15	0.16	0.15	0.16	6.67	"26,945,600.00"	"4,311,294.00"	"26,945,600.00"	"4,311,294.00"	18.04	"23,896,000.00"	-	-	-
155	THAI11C1906A	0.15	0.16	0.16	0.16	6.67	"65,400.00"	"10,464.00"	"65,400.00"	"10,464.00"	0.12	"8,624,000.00"	-	-	-
