<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MSC,20190107,7.05,7.2,7.05,7.1,112600
MTC,20190107,48.75,49.25,48.25,49,7007900
MTI,20190107,97.75,98,97.75,98,72000
MVP,20190107,1.38,1.41,1.37,1.37,770300
NBC,20190107,0.5,0.51,0.5,0.5,104000
NC,20190107,15.3,15.3,15.2,15.2,1600
NCH,20190107,0.85,0.87,0.84,0.87,38500
NCL,20190107,1.4,1.41,1.4,1.41,46000
NDR,20190107,1.88,1.89,1.85,1.89,13100
NEP,20190107,0.31,0.32,0.31,0.32,285500
NER,20190107,1.84,1.84,1.8,1.81,14682700
NETBAY,20190107,23.6,23.6,22.8,23,203100
NEWS,20190107,0.01,0.01,0.01,0.01,428900
NINE,20190107,2.04,2.18,2,2.14,12207300
NKI,20190107,61,61.25,61,61.25,2400
NNCL,20190107,1.65,1.66,1.64,1.65,731800
NOBLE,20190107,14.2,14.5,14.2,14.5,367200
NOK,20190107,2.34,2.36,2.3,2.3,806300
NPK,20190107,26,26.25,26,26,8700
NPPG,20190107,1,1.02,0.98,0.99,14664100
NSI,20190107,77.25,77.5,77.25,77.5,200
NTV,20190107,56,56.25,56,56,2300
NUSA,20190107,0.47,0.47,0.45,0.45,3539200
NVD,20190107,3.22,3.32,3.14,3.22,620900
NWR,20190107,0.77,0.79,0.77,0.78,3202100
NYT,20190107,5.05,5.05,5,5,33100
OCEAN,20190107,3.78,3.92,3.78,3.9,3406300
OGC,20190107,34,34,34,34,100
OHTL,20190107,470,470,470,470,100
OISHI,20190107,72,75.25,72,75.25,7600
ORI,20190107,6.5,7.1,6.5,6.9,23765400
OSP,20190107,23.9,24.1,23.7,23.8,3564900
OTO,20190107,2,2.04,1.98,2,100900
PACE,20190107,0.39,0.41,0.38,0.4,5662700
PAF,20190107,0.8,0.8,0.76,0.8,42300
PAP,20190107,3.46,3.46,3.46,3.46,6100
PATO,20190107,12.9,13,12.9,13,5500
PB,20190107,60.5,60.5,60.5,60.5,1100
PCSGH,20190107,7.05,7.05,6.95,6.95,18200
PDG,20190107,2.84,2.84,2.82,2.84,91500
PDI,20190107,12,12.2,12,12.1,67900
PDJ,20190107,2.22,2.26,2.2,2.24,6100
PE,20190107,0.22,0.22,0.21,0.22,245500
PERM,20190107,1.89,1.89,1.88,1.89,9600
PF,20190107,0.71,0.72,0.7,0.72,7497500
PG,20190107,5.6,5.65,5.6,5.65,200
PHOL,20190107,1.59,1.62,1.58,1.62,19100
PICO,20190107,3.8,3.8,3.8,3.8,500
PIMO,20190107,4.82,4.84,4.8,4.84,1259400
PJW,20190107,1.47,1.51,1.47,1.51,129900
PK,20190107,2.14,2.18,2.1,2.12,251000
PL,20190107,3.24,3.28,3.24,3.26,33200
PLANB,20190107,6.15,6.15,5.95,6.15,14167400
PLANET,20190107,1.46,1.46,1.45,1.45,30700
PLAT,20190107,7.25,7.3,7.15,7.2,148900
PLE,20190107,1.1,1.12,1.1,1.12,1350000
PM,20190107,8.6,8.7,8.6,8.7,165000
PMTA,20190107,10.4,10.6,10.4,10.6,400
POPF,20190107,13.2,13.4,13.2,13.3,209500
PORT,20190107,5.1,5.1,4.98,5,560000
POST,20190107,2.96,2.96,2.8,2.8,500
PPF,20190107,11,11,11,11,10000
PPM,20190107,1.14,1.15,1.12,1.12,80200
PPP,20190107,2.54,2.62,2.54,2.62,39600
PPPM,20190107,2.66,2.7,2.64,2.66,34600
PPS,20190107,0.68,0.7,0.68,0.7,627100
PR9,20190107,11.3,11.4,11.2,11.3,676500
PRAKIT,20190107,11.1,11.1,11.1,11.1,1000
PREB,20190107,9.35,9.5,9.35,9.5,124400
PRECHA,20190107,1.6,1.6,1.57,1.59,119200
PRIN,20190107,1.58,1.58,1.57,1.57,430500
PRINC,20190107,4.7,4.72,4.68,4.72,312500
PRM,20190107,5.4,5.7,5.3,5.65,5927500
PSH,20190107,17,17.1,16.7,16.7,2635500
PSL,20190107,8.8,8.85,8.7,8.75,10839000
PSTC,20190107,0.62,0.62,0.6,0.61,24016700
PT,20190107,5.7,5.75,5.7,5.7,123900
PTG,20190107,9.55,9.7,9.45,9.6,17633500
PTL,20190107,13.1,13.5,13,13.5,319800
PTT,20190107,47.25,48.75,47.25,48,86356300
PTTEP,20190107,121,122,120,121,20241800
PTTGC,20190107,71.75,72.75,71.25,72,22885900
PYLON,20190107,7.1,7.15,7.05,7.05,136200
QH,20190107,2.64,2.68,2.64,2.66,62518300
QHHR,20190107,8.4,8.4,8.4,8.4,6400
QHOP,20190107,3.22,3.24,3.22,3.22,1200
QHPF,20190107,13.3,13.3,13.2,13.3,232100
QLT,20190107,3.9,3.94,3.9,3.9,19200
QTC,20190107,4.86,4.88,4.82,4.88,90300
RATCH,20190107,51,51.75,51,51.75,898500
RCI,20190107,3.88,3.92,3.86,3.88,290100
RCL,20190107,4.88,4.88,4.86,4.88,32300
RICHY,20190107,1.56,1.57,1.54,1.57,314700
RJH,20190107,18.9,19.1,18.9,19,76500
RML,20190107,1.13,1.13,1.12,1.13,272700
ROBINS,20190107,64.5,65.75,64.5,65.25,1556200
ROCK,20190107,15.1,20.3,15,15.6,26200
ROH,20190107,42.25,44,42,44,700
ROJNA,20190107,4.74,4.76,4.72,4.72,1531700
RP,20190107,2.32,2.44,2.32,2.4,34200
RPC,20190107,0.4,0.4,0.39,0.4,170600
RPH,20190107,4.9,4.9,4.84,4.9,108300
RS,20190107,15.3,15.6,15,15.1,6180400
RSP,20190107,3.7,3.78,3.68,3.7,208100
RWI,20190107,1.66,1.66,1.66,1.66,2500
S,20190107,3.16,3.22,3.14,3.2,3137500
S&J,20190107,23.9,23.9,23.9,23.9,3100
S11,20190107,7.1,7.15,7,7.15,108300
SABINA,20190107,28.75,29,28.75,29,5700
SALEE,20190107,1.06,1.07,1.03,1.03,153200
SAM,20190107,0.45,0.46,0.45,0.45,87400
SAMART,20190107,6.45,6.45,6.3,6.4,513500
SAMCO,20190107,1.72,1.74,1.71,1.73,36500
SAMTEL,20190107,7.3,7.5,6.9,7.2,1879000
SANKO,20190107,1.14,1.14,1.1,1.1,92300
SAPPE,20190107,14.3,14.8,14.2,14.8,566100
SAT,20190107,15.8,16.6,15.8,16.6,1481400
SAUCE,20190107,22,22,22,22,200
SAWAD,20190107,48.25,48.5,47.75,48.5,5002800
SAWANG,20190107,11.2,11.2,11.2,11.2,100
SBPF,20190107,2.78,2.8,2.78,2.8,14500
SC,20190107,2.66,2.76,2.66,2.66,4748100
SCB,20190107,133.5,135.5,133,135,5608800
SCC,20190107,438,438,432,436,1954800
SCCC,20190107,219,219,214,214,104700
SCG,20190107,4.46,4.46,4.46,4.46,600
SCI,20190107,2.4,2.64,2.38,2.42,1602100
SCN,20190107,3.98,4,3.9,3.94,164900
SCP,20190107,8.5,8.55,8.5,8.55,637300
SDC,20190107,0.3,0.3,0.29,0.3,1350900
SE-ED,20190107,3.4,3.4,2.82,2.82,122100
SEAFCO,20190107,8.7,8.85,8.7,8.8,3742600
SEAOIL,20190107,3.42,3.44,3.32,3.32,513000
SELIC,20190107,2.32,2.34,2.3,2.3,375400
SENA,20190107,3.32,3.38,3.32,3.38,239600
SF,20190107,7.25,7.4,7.25,7.35,490600
SFP,20190107,181,181,181,181,100
SGF,20190107,1.24,1.35,1.24,1.31,25855500
SGP,20190107,9.15,9.25,9.1,9.15,8645800
SHANG,20190107,75.25,76.25,75.25,76.25,2800
SHREIT,20190107,8.75,8.8,8.7,8.7,55600
SIAM,20190107,2.1,2.1,2.08,2.1,48200
SIMAT,20190107,1.9,1.92,1.89,1.89,181100
SINGER,20190107,6.5,6.5,6.4,6.45,62800
SIRI,20190107,1.22,1.25,1.22,1.25,48576800
SIS,20190107,9.9,9.9,9.7,9.7,145700
SISB,20190107,4.36,4.38,4.32,4.38,1157500
SITHAI,20190107,1.12,1.13,1.12,1.13,363400
SKE,20190107,1,1,0.99,1,318400
SKN,20190107,3.56,3.6,3.5,3.56,614300
SKR,20190107,4,4,3.96,4,231100
SKY,20190107,12.2,13,12.2,12.7,365400
SLP,20190107,0.82,0.84,0.82,0.82,67600
SMART,20190107,0.94,0.95,0.94,0.95,11800
